iter	Logloss
0	0.6762785241
1	0.6616013019
2	0.6505115299
3	0.6363452606
4	0.6229429622
5	0.6103702187
6	0.6012481006
7	0.5916929711
8	0.5844703976
9	0.5769453692
10	0.5674761809
11	0.5573182619
12	0.5478880132
13	0.5429101165
14	0.5354472862
15	0.5300331179
16	0.526112344
17	0.5194110718
18	0.5135192751
19	0.509450146
20	0.504230942
21	0.496672469
22	0.4926149152
23	0.4888334191
24	0.4850586533
25	0.4817688034
26	0.4789426514
27	0.4759485611
28	0.47302603
29	0.4695659911
30	0.4662912639
31	0.4637368583
32	0.4607479195
33	0.4585311171
34	0.4563838864
35	0.4537095202
36	0.4516123177
37	0.4501706669
38	0.4480764858
39	0.4466373903
40	0.4444036056
41	0.4429509191
42	0.4415211535
43	0.4395307406
44	0.4369104841
45	0.4358590061
46	0.4345463836
47	0.4333265375
48	0.4323408502
49	0.4316001502
50	0.4305301407
51	0.4294096875
52	0.4281271426
53	0.4272125422
54	0.4262262537
55	0.4250328705
56	0.4239509061
57	0.4224816965
58	0.4215281746
59	0.420577644
60	0.4196601541
61	0.4175488171
62	0.4168462289
63	0.4157411607
64	0.4150354633
65	0.4137819342
66	0.4133365781
67	0.4129017682
68	0.4121269813
69	0.4115013429
70	0.4091238329
71	0.4085628187
72	0.4077583815
73	0.4071940019
74	0.4062784514
75	0.4053539367
76	0.4051002475
77	0.4045454451
78	0.4038840822
79	0.4035419682
80	0.4028393736
81	0.4017043563
82	0.4014411584
83	0.4003506175
84	0.3996432376
85	0.3972715343
86	0.3962997587
87	0.3960555648
88	0.3952156643
89	0.3947196861
90	0.3941703914
91	0.3936162501
92	0.3927517898
93	0.3921416721
94	0.3914768179
95	0.3909198196
96	0.3904674921
97	0.3897423015
98	0.3895343283
99	0.3890422937
100	0.3883828626
101	0.3879713455
102	0.3876070439
103	0.3871536609
104	0.3867042533
105	0.3860842915
106	0.3858175749
107	0.3854593121
108	0.3840931097
109	0.3826827799
110	0.3819852289
111	0.3815955865
112	0.3810493276
113	0.3807008647
114	0.3803864026
115	0.3795018902
116	0.3788617639
117	0.3782780904
118	0.3777322188
119	0.3771684621
120	0.3767960222
121	0.3765526656
122	0.3763319483
123	0.3757587452
124	0.3755983484
125	0.3752227724
126	0.3746599687
127	0.3744539006
128	0.3734073541
129	0.3728748229
130	0.3727304827
131	0.3720826937
132	0.3717415612
133	0.3707490784
134	0.3704438069
135	0.3700178348
136	0.369613658
137	0.369449653
138	0.3688877693
139	0.3686158794
140	0.3681358683
141	0.3678755099
142	0.367583612
143	0.3672429302
144	0.3669342168
145	0.3667402088
146	0.3660398211
147	0.3656411108
148	0.3648621941
149	0.3647138784
150	0.3638884786
151	0.3633710895
152	0.3632220306
153	0.362500176
154	0.3621527574
155	0.3605570523
156	0.3603596142
157	0.360103655
158	0.3597414799
159	0.3596339566
160	0.3595154206
161	0.3589850862
162	0.3588192366
163	0.3584580547
164	0.3581936898
165	0.3578265479
166	0.3572591222
167	0.3570538354
168	0.3566820874
169	0.356096407
170	0.3557150466
171	0.3553983008
172	0.3551590173
173	0.3549548326
174	0.3547391162
175	0.3544565354
176	0.3540906394
177	0.3537250938
178	0.3534004318
179	0.3531280809
180	0.3528660476
181	0.3524850734
182	0.3521107213
183	0.3519100707
184	0.3512105657
185	0.3510423832
186	0.3503960067
187	0.3500395752
188	0.3498585559
189	0.349565178
190	0.3493934226
191	0.3492009287
192	0.3490295042
193	0.3472761014
194	0.3470297956
195	0.3465085356
196	0.3461771435
197	0.3458875787
198	0.3449295121
199	0.344300352
200	0.344196503
201	0.3437881718
202	0.3433687224
203	0.3431606235
204	0.3427366317
205	0.3423094203
206	0.3418409829
207	0.3414876534
208	0.3412541822
209	0.3408683246
210	0.3403448533
211	0.3399517513
212	0.3395813947
213	0.3393115389
214	0.3390230739
215	0.3382442634
216	0.337902974
217	0.3377009719
218	0.3366776834
219	0.3363799253
220	0.3362240709
221	0.3360679757
222	0.3358653521
223	0.33568619
224	0.3350606776
225	0.3347256228
226	0.3344655217
227	0.33423083
228	0.3334103847
229	0.3330592247
230	0.3328815285
231	0.3326415662
232	0.3323994587
233	0.3313604202
234	0.3308045349
235	0.3300480393
236	0.3298204468
237	0.3293702829
238	0.3289624871
239	0.328586874
240	0.3284297835
241	0.3275525379
242	0.3272420853
243	0.3270900023
244	0.3266948189
245	0.3265335888
246	0.3262005069
247	0.325989959
248	0.3252882687
249	0.3248233921
250	0.3245204227
251	0.3241714263
252	0.3238353893
253	0.3236058854
254	0.3232246323
255	0.3230625491
256	0.3220265058
257	0.3217454442
258	0.321405634
259	0.3205549979
260	0.3203054507
261	0.320035725
262	0.3197673428
263	0.3195959642
264	0.3192388496
265	0.3189652052
266	0.3188452508
267	0.3181200881
268	0.3178280128
269	0.3176594662
270	0.3172605852
271	0.3170847138
272	0.316740221
273	0.3163734996
274	0.3159832505
275	0.3157285002
276	0.3153741512
277	0.3146453562
278	0.3143792503
279	0.31408527
280	0.3138232033
281	0.3135024895
282	0.3126404766
283	0.3114417969
284	0.3110030382
285	0.3106310493
286	0.3097958748
287	0.3086817353
288	0.308435123
289	0.3076743945
290	0.3069187096
291	0.3063929686
292	0.3060755875
293	0.3058110854
294	0.3054447807
295	0.3052680594
296	0.3042454158
297	0.3040136457
298	0.3030237995
299	0.30236383
300	0.3019497401
301	0.3009453633
302	0.3008426589
303	0.3005735783
304	0.3002374462
305	0.3000721852
306	0.2997613488
307	0.2992373878
308	0.2984233154
309	0.2981701833
310	0.2979856699
311	0.297805013
312	0.2975371066
313	0.2973163559
314	0.2971464328
315	0.2962872176
316	0.2961746741
317	0.2958231224
318	0.2951155321
319	0.2949355589
320	0.2944759577
321	0.2942185364
322	0.2937535276
323	0.2934264166
324	0.2931591051
325	0.2929995938
326	0.2925971437
327	0.2922369697
328	0.2918473163
329	0.2916077445
330	0.2912894164
331	0.2912040741
332	0.2910389676
333	0.2906624903
334	0.2905240619
335	0.2901210354
336	0.2899265897
337	0.289680629
338	0.2895692708
339	0.2888993771
340	0.2888084273
341	0.288718561
342	0.2881416814
343	0.2873133108
344	0.2872261101
345	0.2869657419
346	0.2867197409
347	0.2865554204
348	0.2861457781
349	0.2858250211
350	0.2840885584
351	0.2834164549
352	0.2832416074
353	0.2829679729
354	0.2828586619
355	0.2825336861
356	0.2824095483
357	0.2822118928
358	0.2817353599
359	0.2815896911
360	0.2814209486
361	0.2810966964
362	0.2810247985
363	0.2808376227
364	0.2805306167
365	0.280226052
366	0.2800398499
367	0.2798756701
368	0.2797855861
369	0.2796424321
370	0.2795042075
371	0.2788070633
372	0.2787412957
373	0.278476199
374	0.2777610893
375	0.2773898081
376	0.2771724659
377	0.2768901152
378	0.2766404028
379	0.2762804663
380	0.2755438144
381	0.2749535721
382	0.2746619227
383	0.2745032215
384	0.2741156797
385	0.2739631985
386	0.2738408212
387	0.2737980847
388	0.273479536
389	0.2733688604
390	0.2732279175
391	0.2726854785
392	0.2726186266
393	0.2724400537
394	0.2723662434
395	0.2720885676
396	0.2717781217
397	0.2714364731
398	0.2711385312
399	0.2702536814
400	0.2701007929
401	0.269884486
402	0.2690004025
403	0.2688759468
404	0.26827794
405	0.2678010432
406	0.2674742221
407	0.2671872523
408	0.2667773635
409	0.2666200256
410	0.2663659754
411	0.2659699791
412	0.2657746754
413	0.2652967481
414	0.2643662125
415	0.2634798623
416	0.2633650211
417	0.2628391116
418	0.2624834223
419	0.2622282185
420	0.2611108001
421	0.2610738356
422	0.2605192921
423	0.2602111917
424	0.2600908911
425	0.2599386893
426	0.2586773494
427	0.2585831442
428	0.258456819
429	0.2583144945
430	0.2582137532
431	0.2578827377
432	0.2577410552
433	0.2576052441
434	0.2574266072
435	0.2572106117
436	0.2569441116
437	0.2566107266
438	0.2554082784
439	0.2547995103
440	0.2545306168
441	0.2542966342
442	0.2539679359
443	0.2537313861
444	0.2526677222
445	0.2524523249
446	0.2521943505
447	0.2517818475
448	0.2514370503
449	0.2511996053
450	0.2509799459
451	0.2502903295
452	0.2498715863
453	0.2490819512
454	0.2487689615
455	0.2487373147
456	0.2480403937
457	0.2477094698
458	0.2463807287
459	0.2458143349
460	0.2455368172
461	0.2450113116
462	0.2449387131
463	0.2444548379
464	0.2443352221
465	0.2440206237
466	0.243888919
467	0.2434587296
468	0.2433507133
469	0.2427348545
470	0.2426168479
471	0.2424003151
472	0.2421101493
473	0.2420423353
474	0.2414785197
475	0.2411811961
476	0.2409907473
477	0.2402843376
478	0.2402223216
479	0.2398929732
480	0.2396433372
481	0.2393735672
482	0.2391882948
483	0.2389140395
484	0.2383162234
485	0.2378657102
486	0.2376133476
487	0.2374381486
488	0.2372267035
489	0.2370461626
490	0.2368427138
491	0.2366865691
492	0.2365139671
493	0.2363309312
494	0.2357444823
495	0.2355793646
496	0.2354749217
497	0.2353266558
498	0.2350422518
499	0.2348081454
500	0.2346526268
501	0.2340040085
502	0.2334742012
503	0.2327736091
504	0.2326476139
505	0.2323613778
506	0.2321952016
507	0.2320008985
508	0.231619051
509	0.2312105184
510	0.2309568882
511	0.2308870006
512	0.230623802
513	0.2305397017
514	0.2303315115
515	0.2300422571
516	0.2298379172
517	0.2295814647
518	0.2294960055
519	0.2293492585
520	0.2292143413
521	0.2290686561
522	0.2288678754
523	0.2286826511
524	0.2284867606
525	0.2283272876
526	0.2281522627
527	0.2277546226
528	0.2275937097
529	0.2275201172
530	0.2270551086
531	0.2269116592
532	0.2268172976
533	0.2267184903
534	0.2265319962
535	0.2263715826
536	0.2262614195
537	0.2258196008
538	0.2256683258
539	0.2252447042
540	0.2250231741
541	0.2245527559
542	0.2244027515
543	0.2242713559
544	0.2238180491
545	0.2234761962
546	0.2231573416
547	0.22225202
548	0.2220335321
549	0.2218649429
550	0.2217775015
551	0.2214258405
552	0.2212035802
553	0.2211074372
554	0.2208394433
555	0.2204029231
556	0.2201201693
557	0.2197996662
